   399.4  	1392.5 	ũ
   473.7  	793.4	ũ 
   313.9  	1403.5	ũ
   517.6  	976.3	ũ
   339.2  	756.0	ũ
   262.0  	545.1	ũ 
   318.2  	1419.9	ũ
   319.8  	793.9	ũ
   474.2  	1403.3	ũ
   484.3  	1098.3	ũ
   401.4  	1840.6	ũː
   439.4  	1230.2	ũː
   364.8  	1121.2	ũ
   393.4  	2429.4	ũ
   435.6  	895.3	u
   364.2  	1088.2	ũ
   399.9  	1233.9	ũ
   423.2  	1219.2	ũ
   393.5  	1198.5	ũ
   421.2  	1259.4	ũ
   529.2  	896.0	ũ
   302.7  	1346.5	ũ
   360.1  	555.3	ũː
   391.0  	730.1	ũː
   414.0  	1129.	ũ
   443.1  	1487.2	õ
   588.2  	1650.2	ɔ̃
   722.5  	1098.3	ã
   552.7  	1119.4	ã
   821.0  	921.4	ã
   738.3  	1398.6	ã
   537.0  	1595.0	ã
   546.5  	1555.8	ã
   1142.3	1461.5	ãː
   407.2  	1142.2	ãː
   535.0  	1468.4	ãː
   501.1  	1241.2	ãː
   480.4  	1264.3	ẽ
   515.1  	1826.7	ẽː
   412.2  	1765.2	ẽː
   279.5  	1825.9	ẽː
   372.9  	1723.7	ĩ
   302.7  	1660.2	ĩ
   271.5  	1321.7	ĩ
   387.3  	2357.2	ĩː
   434.3  	2310.7	ĩː
   436.7  	2194.9	ĩː
   349.5  	1135.4	ĩː
   613.9  	1511.6	ĩː
   353.2  	1066.1	ĩː
   321.6  	1533.8	ĩː
   281.1  	1157.4	ĩː
   359.5  	2295.4	ĩː
   360.0  	2190.1	ĩː
   376.1  	2255.1	ĩː
   347.4  	1734.9	ĩː
   352.7  	1822.3	ĩː
   380.0  	2466.1	ĩː
   416.7  	1264.8	ĩː
   413.5  	1762.2	ĩː
   300.4  	1228.4	ĩː
   395.5  	1473.9	ĩː
   349.5  	1200.0	ĩː
   345.9  	1674.7	ĩː
   346.0  	1515.9	ĩː
   350.4  	2281.0	ĩː
   513.0  	2378.1	ĩː
   380.0  	1638.9	ĩː
   283.7  	1695.0	ĩː
   276.6  	1586.0	ĩː
   304.7  	1518.2	ĩː
   266.6  	1692.2	ĩː
   366.5  	1331.0	ĩː
   343.5  	1499.8	ĩː
   313.8  	1614.9	ĩː
   403.7  	1806.6	ĩː
   366.2  	2377.7	ĩ
   425.4  	1568.3	ĩː
   298.3  	1443.7	ĩː
   363.9	2339.1	ĩː
   297.5  	1887.7	ĩː
   286.3  	1501.3	ĩː
   369.7  	1597.0	ĩː
   262.3  	1806.2	ĩː
   362.0  	2376.3	ĩː
