Vowel	F1_pt2	F1_mid	F1_pt7	F1_pt8	F2_pt2	F2_mid	F2_pt7	F2_pt8	F3_pt2	F3_mid	F3_pt7	F3_pt8	Filename
ĩːː	345	322	301	296	1756	1534	1691	1624	2634	2783	2646	2664	NUM_one_06.wav
u	590	314	290	412	2229	1017	940	1061	2898	1915	2174	2431	NUM_two_02.wav
i	293	281	--undefined--	--undefined--	891	2471	--undefined--	--undefined--	2206	2939	--undefined--	--undefined--	NUM_two_02.wav
u	491	348	360	377	1769	1179	975	731	2987	1969	2312	2064	NUM_two_03.wav
i	337	571	256	--undefined--	1166	2285	1895	--undefined--	2166	3151	2281	--undefined--	NUM_two_03.wav
u	729	376	371	357	1841	1146	1310	1126	2803	2231	2358	1590	NUM_two_04.wav
i	365	338	--undefined--	--undefined--	1131	2254	--undefined--	--undefined--	2035	2756	--undefined--	--undefined--	NUM_two_04.wav
aː 	1897	744	309	--undefined--	2533	1294	1201	--undefined--	3194	2141	2250	--undefined--	N_bird_01.wav
ˈaː	1062	701	1091	--undefined--	2354	1310	1429	--undefined--	3436	2195	2292	--undefined--	N_bird_02.wav
iːː 	384	395	208	282	1955	998	1892	1702	2411	2344	2750	2289	N_blood_01.wav
iːː 	609	440	287	219	2112	2622	924	2182	2863	3287	2447	2326	N_blood_02.wav
a ᵃ^̰ 	369	729	762	459	1377	1426	1423	1392	2908	2431	2435	2431	N_booger_03.wav
ˈa	707	767	538	--undefined--	1454	1391	1415	--undefined--	2434	2366	2838	--undefined--	N_booger_03.wav
a ᵃ^̰ 	438	748	786	714	1510	1504	1376	1416	3166	2402	2201	2367	N_booger_04.wav
ˈa	744	784	--undefined--	--undefined--	1485	1438	--undefined--	--undefined--	2395	2408	--undefined--	--undefined--	N_booger_04.wav
i	586	397	370	1651	1758	2165	1908	2619	2935	2722	3311	3040	N_bull_01.wav
ˈi 	890	493	--undefined--	--undefined--	1771	1903	--undefined--	--undefined--	2663	3285	--undefined--	--undefined--	N_bull_01.wav
i	1785	321	355	516	2781	2193	1692	2365	3685	3395	2707	3081	N_bull_02.wav
i	336	379	--undefined--	--undefined--	1453	2186	--undefined--	--undefined--	2533	2841	--undefined--	--undefined--	N_bull_02.wav
i	1022	210	1014	1530	1657	1535	1874	1894	2663	2434	2959	2941	N_bull_P_two_bulls_02.wav
i	352	316	--undefined--	--undefined--	1585	1773	--undefined--	--undefined--	2366	2644	--undefined--	--undefined--	N_bull_P_two_bulls_02.wav
a	296	681	694	346	1483	1460	1547	2159	3108	2318	2358	2572	N_cactus_01.wav
ˈi	617	280	--undefined--	--undefined--	1625	2223	--undefined--	--undefined--	2416	2783	--undefined--	--undefined--	N_cactus_01.wav
a	934	687	418	337	1885	1449	1334	1463	3667	2242	2301	2284	N_cactus_02.wav
ˈi	567	336	524	--undefined--	1707	2092	1621	--undefined--	2511	2747	3081	--undefined--	N_cactus_02.wav
a	315	639	638	498	1872	1565	1397	1313	3257	2341	2262	2293	N_cactus_04.wav
ˈi	663	350	--undefined--	--undefined--	1553	2167	--undefined--	--undefined--	2274	2856	--undefined--	--undefined--	N_cactus_04.wav
i	302	771	430	409	1788	1911	949	1436	2852	3085	2557	2267	N_cat_04.wav
ˈu	184	539	--undefined--	--undefined--	614	938	--undefined--	--undefined--	2295	1946	--undefined--	--undefined--	N_cat_04.wav
u	1440	383	319	317	2280	1854	2088	1543	3521	2812	2811	2572	N_child_01.wav
ˈuː	328	307	740	--undefined--	1522	1248	1823	--undefined--	2640	2084	3092	--undefined--	N_child_01.wav
u	1499	341	285	280	2530	1485	1385	1480	3537	2763	2580	2235	N_child_02.wav
uː	338	304	--undefined--	--undefined--	1504	1098	--undefined--	--undefined--	2798	2255	--undefined--	--undefined--	N_child_02.wav
u	1724	457	345	456	2640	1401	1005	1458	3600	1992	2340	2229	N_child_04.wav
uː	436	408	320	247	1518	1300	957	1714	3103	2071	2486	2498	N_child_04.wav
