Vowel	F1_pt2	F1_mid	F1_pt7	F1_pt8	F2_pt2	F2_mid	F2_pt7	F2_pt8	F3_pt2	F3_mid	F3_pt7	F3_pt8	Filename
o	274	388	877	661	1384	1000	1027	1417	2529	2880	2554	2416	S_jump_1st_sg_Fut_over_there_then_pee_02.wav
a	647	538	542	--undefined--	1597	1471	1296	--undefined--	2640	2391	2463	--undefined--	S_jump_1st_sg_Fut_over_there_then_pee_02.wav
a	498	526	1000	--undefined--	1752	1475	2999	--undefined--	2735	2446	4937	--undefined--	S_jump_1st_sg_Fut_over_there_then_pee_02.wav
u	408	386	--undefined--	--undefined--	2190	940	--undefined--	--undefined--	2668	2504	--undefined--	--undefined--	S_jump_1st_sg_Fut_over_there_then_pee_02.wav
a	171	700	--undefined--	--undefined--	890	1421	--undefined--	--undefined--	2539	2444	--undefined--	--undefined--	S_jump_1st_sg_Fut_over_there_then_pee_02.wav
a	392	612	--undefined--	--undefined--	1694	1412	--undefined--	--undefined--	2343	2599	--undefined--	--undefined--	S_jump_1st_sg_Fut_over_there_then_pee_02.wav
_#	627	1000	--undefined--	--undefined--	1545	2999	--undefined--	--undefined--	1939	4937	--undefined--	--undefined--	S_jump_1st_sg_Fut_over_there_then_pee_02.wav
a	228	544	1837	293	1513	1469	2572	2187	2837	2592	3610	2678	S_lion_eats_squirrel_01.wav
i	315	312	485	1774	1965	2347	1835	2590	2901	2564	2597	3470	S_lion_eats_squirrel_01.wav
i	497	277	690	166	1484	2119	1356	1384	2588	2845	2139	2715	S_lion_eats_squirrel_01.wav
aː 	1786	631	1196	540	2572	1327	2256	1032	3655	2082	3049	2198	S_lion_eats_squirrel_01.wav
i	299	279	--undefined--	--undefined--	1715	2148	--undefined--	--undefined--	2594	2659	--undefined--	--undefined--	S_lion_eats_squirrel_01.wav
ãĩ	830	331	--undefined--	--undefined--	1962	2110	--undefined--	--undefined--	2708	2308	--undefined--	--undefined--	S_lion_eats_squirrel_01.wav
ĩːː 	354	364	280	437	1441	2339	1492	1619	2563	2717	2638	2600	S_nine_husbands_eat_salt_02.wav
ĩːː 	261	297	540	342	2201	1888	1610	1805	2587	2889	2433	2534	S_nine_husbands_eat_salt_02.wav
a	1126	521	488	--undefined--	2694	1633	1691	--undefined--	2893	2492	2735	--undefined--	S_nine_husbands_eat_salt_02.wav
i	1001	378	--undefined--	--undefined--	2991	2077	--undefined--	--undefined--	4937	2559	--undefined--	--undefined--	S_nine_husbands_eat_salt_02.wav
iːː 	308	488	--undefined--	--undefined--	2206	1690	--undefined--	--undefined--	2851	2733	--undefined--	--undefined--	S_nine_husbands_eat_salt_02.wav
ĩːː	1009	425	279	467	2653	1568	1632	1660	4231	2790	2939	2746	S_nine_husbands_eat_salt_03.wav
ĩːː	445	298	533	321	1780	1444	1609	1873	3004	2447	2612	2434	S_nine_husbands_eat_salt_03.wav
a	268	529	345	1288	1725	1589	1655	1691	2990	2515	2558	3018	S_nine_husbands_eat_salt_03.wav
i	472	343	999	--undefined--	1654	1898	2992	--undefined--	2764	2483	4945	--undefined--	S_nine_husbands_eat_salt_03.wav
iːː	307	343	--undefined--	--undefined--	1474	1642	--undefined--	--undefined--	2512	2597	--undefined--	--undefined--	S_nine_husbands_eat_salt_03.wav
ĩːː	349	362	412	456	1571	2376	1593	1621	2607	2669	2663	2649	S_nine_husbands_eat_salt_05.wav
ĩːː	313	286	539	400	1469	1501	1648	1816	2606	2565	2599	2679	S_nine_husbands_eat_salt_05.wav
a	355	520	493	--undefined--	1617	1638	1667	--undefined--	2588	2475	2672	--undefined--	S_nine_husbands_eat_salt_05.wav
i	1000	326	--undefined--	--undefined--	2999	1528	--undefined--	--undefined--	4937	2652	--undefined--	--undefined--	S_nine_husbands_eat_salt_05.wav
iːː 	305	496	--undefined--	--undefined--	1801	1645	--undefined--	--undefined--	2806	2702	--undefined--	--undefined--	S_nine_husbands_eat_salt_05.wav
o	895	462	504	645	2111	1293	1333	1583	3426	2333	2429	2905	S_take_this_moon_01.wav
o	328	630	1002	310	1806	1133	2998	1724	2417	2176	4936	2825	S_take_this_moon_01.wav
oː 	495	476	1000	497	1162	1611	2999	1135	2292	2474	4937	2230	S_take_this_moon_01.wav
o	718	520	--undefined--	--undefined--	1288	1084	--undefined--	--undefined--	2195	2162	--undefined--	--undefined--	S_take_this_moon_01.wav
o	275	811	--undefined--	--undefined--	1733	1982	--undefined--	--undefined--	2800	3240	--undefined--	--undefined--	S_take_this_moon_01.wav
a ᵃ ^̰	455	446	653	613	1652	1440	1413	1507	2882	2149	2080	1840	S_that_beautiful_woman_eats_my_chicken_01.wav
ᵃ^̰ a	354	642	1272	445	1930	1512	2133	1751	2682	2048	2967	2431	S_that_beautiful_woman_eats_my_chicken_01.wav
ɛː	622	454	655	487	1584	1845	1382	1449	2173	2498	2218	2272	S_that_beautiful_woman_eats_my_chicken_01.wav
aː 	691	675	605	552	1520	1382	1553	1485	2334	2222	2735	2423	S_that_beautiful_woman_eats_my_chicken_01.wav
a	291	812	352	492	1536	1408	1741	1499	2596	1984	2565	2342	S_that_beautiful_woman_eats_my_chicken_01.wav
a	441	576	509	--undefined--	1726	1489	2295	--undefined--	2359	2450	2507	--undefined--	S_that_beautiful_woman_eats_my_chicken_01.wav
a	378	631	--undefined--	--undefined--	1915	1512	--undefined--	--undefined--	2347	2213	--undefined--	--undefined--	S_that_beautiful_woman_eats_my_chicken_01.wav
ũːː 	670	439	--undefined--	--undefined--	1405	1230	--undefined--	--undefined--	2261	2162	--undefined--	--undefined--	S_that_beautiful_woman_eats_my_chicken_01.wav
ãː 	556	535	329	1490	1762	1468	1652	2614	3078	2152	2482	2982	S_that_beautiful_woman_eats_our_chicken_01.wav
ɛː 	436	446	707	436	1714	1820	1389	1560	2487	2494	2072	2280	S_that_beautiful_woman_eats_our_chicken_01.wav
aː 	566	703	410	496	1419	1377	1525	2098	1990	2051	2523	2536	S_that_beautiful_woman_eats_our_chicken_01.wav
a	298	650	524	409	1598	1490	1427	1661	2380	2119	2700	2955	S_that_beautiful_woman_eats_our_chicken_01.wav
a	451	511	495	483	1835	1379	2065	1706	2568	2567	2874	2922	S_that_beautiful_woman_eats_our_chicken_01.wav
ia	436	485	527	--undefined--	1915	1681	1730	--undefined--	2329	2415	2975	--undefined--	S_that_beautiful_woman_eats_our_chicken_01.wav
ũː	725	401	--undefined--	--undefined--	1652	1841	--undefined--	--undefined--	2317	1973	--undefined--	--undefined--	S_that_beautiful_woman_eats_our_chicken_01.wav
o	718	485	--undefined--	--undefined--	1404	908	--undefined--	--undefined--	2057	2405	--undefined--	--undefined--	S_that_beautiful_woman_eats_our_chicken_01.wav
ˈaː 	460	674	581	601	1497	1242	1353	1660	2154	2104	2148	2727	S_the_red_and_yellow_bird_sings_01.wav
a ᵃ^̰ 	482	575	225	669	1299	1048	1389	1234	2141	2120	2228	2104	S_the_red_and_yellow_bird_sings_01.wav
ᵃ^̰ ˈa	672	650	597	652	1348	1175	1293	1832	2124	2123	2066	3113	S_the_red_and_yellow_bird_sings_01.wav
i	667	287	575	802	1362	1760	1616	1722	2068	2211	2566	2859	S_the_red_and_yellow_bird_sings_01.wav
ˈãː	638	501	219	--undefined--	1201	1241	1358	--undefined--	2015	2063	2109	--undefined--	S_the_red_and_yellow_bird_sings_01.wav
i	647	340	--undefined--	--undefined--	1866	2084	--undefined--	--undefined--	2936	2401	--undefined--	--undefined--	S_the_red_and_yellow_bird_sings_01.wav
ˈa	703	359	--undefined--	--undefined--	1953	1394	--undefined--	--undefined--	3090	2192	--undefined--	--undefined--	S_the_red_and_yellow_bird_sings_01.wav
iːː	331	295	328	282	2125	2261	1526	1197	2672	2803	2573	2134	S_the_sun_shines_today_01.wav
i	340	330	277	297	2053	2334	2239	2282	2753	2880	2668	2856	S_the_sun_shines_today_01.wav
a	284	554	299	247	2189	1609	2322	1562	2877	2571	2863	2435	S_the_sun_shines_today_01.wav
iːː	289	297	271	--undefined--	2303	2195	2057	--undefined--	2967	2879	2665	--undefined--	S_the_sun_shines_today_01.wav
i	189	294	--undefined--	--undefined--	1909	2210	--undefined--	--undefined--	2673	2875	--undefined--	--undefined--	S_the_sun_shines_today_01.wav
i	347	273	--undefined--	--undefined--	1613	2076	--undefined--	--undefined--	2523	2612	--undefined--	--undefined--	S_the_sun_shines_today_01.wav
o	1475	488	507	476	3012	1151	688	721	3664	2445	2709	2758	V_boil_01.wav
o	528	461	654	--undefined--	1891	713	1123	--undefined--	2795	2755	2439	--undefined--	V_boil_01.wav
o	1676	488	468	462	3192	1222	893	816	3650	2423	2684	2746	V_boil_02.wav
o	475	457	--undefined--	--undefined--	1620	846	--undefined--	--undefined--	2617	2776	--undefined--	--undefined--	V_boil_02.wav
a	581	587	283	247	1645	1625	2082	2356	3155	2632	2689	2812	V_cut_01.wav
i	673	247	--undefined--	--undefined--	1998	2277	--undefined--	--undefined--	3169	3251	--undefined--	--undefined--	V_cut_01.wav
a	1153	483	1731	270	1888	1225	2562	1992	3304	2251	3207	2702	V_cut_02.wav
ˈi	700	226	--undefined--	--undefined--	831	2235	--undefined--	--undefined--	2817	2792	--undefined--	--undefined--	V_cut_02.wav
a	1082	568	1916	309	2586	1579	2577	2273	3859	2543	3162	3147	V_cut_1st_sg_01.wav
i	592	340	--undefined--	--undefined--	906	2260	--undefined--	--undefined--	2632	3104	--undefined--	--undefined--	V_cut_1st_sg_01.wav
a	525	559	1465	305	1566	1551	2359	2125	3552	2660	3301	2875	V_cut_1st_sg_02.wav
ˈi	855	295	--undefined--	--undefined--	2083	2161	--undefined--	--undefined--	3710	2916	--undefined--	--undefined--	V_cut_1st_sg_02.wav
a	236	668	292	648	1874	1490	1416	1446	2641	2593	2638	2128	V_draw_01.wav
a ᵃ^̰	252	545	803	744	1638	1434	1438	1447	2612	2106	2826	2142	V_draw_01.wav
ᵃ^̰ ˈɐ 	653	788	--undefined--	--undefined--	1484	1342	--undefined--	--undefined--	2584	2906	--undefined--	--undefined--	V_draw_01.wav
a	306	619	373	453	2374	1524	1439	1403	2637	2565	2607	2593	V_draw_02.wav
a ᵃ^̰	273	549	703	594	2352	1306	1417	1213	2552	2132	1982	2119	V_draw_02.wav
ᵃ^̰ ˈɐ	627	662	--undefined--	--undefined--	1560	1307	--undefined--	--undefined--	2456	2107	--undefined--	--undefined--	V_draw_02.wav
i ⁱ^̰	512	297	468	598	1827	2343	1281	1542	2813	2522	2385	2284	V_drink_1st_sg_01.wav
ⁱ^̰ i	351	265	--undefined--	--undefined--	2277	2347	--undefined--	--undefined--	2664	2711	--undefined--	--undefined--	V_drink_1st_sg_01.wav
i ⁱ^̰	652	321	453	523	1785	2191	1416	1497	3211	2467	2479	2295	V_drink_1st_sg_02.wav
ⁱ^̰ i	323	297	--undefined--	--undefined--	2198	1213	--undefined--	--undefined--	2437	2506	--undefined--	--undefined--	V_drink_1st_sg_02.wav
u	422	354	1845	1872	1409	1308	2455	2507	2520	2487	3078	3149	V_eat_dinner_03_JS.wav
i	356	283	430	440	1172	2191	2099	2558	2529	2897	2697	2714	V_eat_dinner_03_JS.wav
i	1771	431	--undefined--	--undefined--	2481	2559	--undefined--	--undefined--	3049	2709	--undefined--	--undefined--	V_eat_dinner_03_JS.wav
u	673	348	1657	1800	1082	1116	2365	2376	2752	2479	3324	3156	V_eat_dinner_04.wav
i	348	286	382	373	1272	2124	1170	2078	2409	2887	2497	2738	V_eat_dinner_04.wav
ˈi	1970	448	--undefined--	--undefined--	2516	2599	--undefined--	--undefined--	3222	2938	--undefined--	--undefined--	V_eat_dinner_04.wav
u	1020	339	1673	1691	2096	1306	2125	2274	3234	2176	3107	2672	V_eat_lunch_01.wav
ã	368	537	309	349	1393	1595	2616	1444	2292	2242	2992	2530	V_eat_lunch_01.wav
ˈĩ	1674	373	--undefined--	--undefined--	2188	1724	--undefined--	--undefined--	2695	2802	--undefined--	--undefined--	V_eat_lunch_01.wav
a	572	646	493	732	836	982	962	1154	3290	2277	2370	2186	V_give_02.wav
a	600	608	--undefined--	--undefined--	924	1055	--undefined--	--undefined--	2303	2006	--undefined--	--undefined--	V_give_02.wav
a ᵃ^̰ 	589	670	690	638	1199	1054	1138	1151	2362	2364	2298	2179	V_give_03.wav
ˈ a	490	705	1157	--undefined--	711	1187	2224	--undefined--	2669	2246	3395	--undefined--	V_give_03.wav
a	327	583	539	369	575	1011	918	700	2833	2209	2370	2463	V_give_2nd_sg_inf_fut_02.wav
ˈo 	513	450	--undefined--	--undefined--	2279	658	--undefined--	--undefined--	3391	2423	--undefined--	--undefined--	V_give_2nd_sg_inf_fut_02.wav
õ ᵒ^̰	727	445	470	463	1081	1456	729	1455	2603	2640	2585	2898	V_go_01.wav
ᵒ^̰ õ	458	459	--undefined--	--undefined--	1209	1459	--undefined--	--undefined--	2486	2850	--undefined--	--undefined--	V_go_01.wav
õᵒ^̰	778	377	456	450	1108	661	1493	1565	2249	2644	2925	2976	V_go_02.wav
ᵒ^̰õ 	358	457	372	--undefined--	655	1448	1782	--undefined--	2658	1722	2684	--undefined--	V_go_02.wav
ã ᵃ^̰ 	343	713	755	635	1414	1049	1205	1180	2490	2042	2038	1884	V_go_2nd_pl_form_01.wav
ᵃ^̰ ˈã	534	404	422	356	831	992	1521	968	2242	2385	1982	2285	V_go_2nd_pl_form_01.wav
ɛ 	589	422	329	--undefined--	1091	1367	1322	--undefined--	1799	1872	2442	--undefined--	V_go_2nd_pl_form_01.wav
ˈ ĩ	756	303	--undefined--	--undefined--	1207	1660	--undefined--	--undefined--	2035	2199	--undefined--	--undefined--	V_go_2nd_pl_form_01.wav
ã ᵃ^̰ 	551	725	629	648	881	1159	1308	1188	2590	1797	1885	2173	V_go_2nd_pl_form_02.wav
ᵃ^̰ ã	695	447	431	263	843	951	1143	1485	2273	2199	1698	1598	V_go_2nd_pl_form_02.wav
ẽ	749	480	276	164	1108	1264	1311	1786	1999	2041	2560	2784	V_go_2nd_pl_form_02.wav
ˈ ĩ 	756	271	--undefined--	--undefined--	1273	1322	--undefined--	--undefined--	2061	2544	--undefined--	--undefined--	V_go_2nd_pl_form_02.wav
ã ᵃ^̰ 	484	722	758	751	1340	995	1171	1208	2540	2149	2039	1939	V_go_2nd_pl_inf_01.wav
ᵃ^̰ ˈã	683	808	489	420	1604	1198	803	1179	2431	2016	2632	1950	V_go_2nd_pl_inf_01.wav
ˈɛː 	761	358	--undefined--	--undefined--	1208	1694	--undefined--	--undefined--	1996	2198	--undefined--	--undefined--	V_go_2nd_pl_inf_01.wav
ã 	633	723	761	677	1445	1098	1232	1230	2678	2311	2430	2192	V_go_2nd_pl_inf_02.wav
ã	580	553	426	394	1082	1119	1105	1838	2671	2478	2407	2137	V_go_2nd_pl_inf_02.wav
e	657	293	--undefined--	--undefined--	1190	1836	--undefined--	--undefined--	2312	2360	--undefined--	--undefined--	V_go_2nd_pl_inf_02.wav
ã ᵃ^̰	657	790	724	797	777	904	1077	1168	2426	2285	2351	2162	V_go_2nd_sg_form_01.wav
ᵃ^̰ ã 	705	754	229	285	726	1412	1399	1514	2434	2221	2474	2401	V_go_2nd_sg_form_01.wav
ˈ i	769	257	--undefined--	--undefined--	1155	1196	--undefined--	--undefined--	2063	2471	--undefined--	--undefined--	V_go_2nd_sg_form_01.wav
ã	691	821	750	727	711	921	1172	1282	2298	2422	2038	1908	V_go_2nd_sg_form_02.wav
ã	540	738	225	300	718	1399	1427	1381	2422	2179	2433	2447	V_go_2nd_sg_form_02.wav
i	771	210	--undefined--	--undefined--	1148	1890	--undefined--	--undefined--	2036	2926	--undefined--	--undefined--	V_go_2nd_sg_form_02.wav
ã ᵃ^̰	591	728	701	861	1083	1019	1222	1231	2379	2145	2298	2083	V_go_2nd_sg_inf_02.wav
ᵃ^̰ ã 	815	946	--undefined--	--undefined--	844	1242	--undefined--	--undefined--	2418	2264	--undefined--	--undefined--	V_go_2nd_sg_inf_02.wav
ũ	685	318	342	364	2031	1420	1410	1271	3362	2658	2595	2494	V_go_2nd_sg_inf_fut_02.wav
ũ	339	320	466	301	1415	794	1504	1438	2597	2563	2730	2606	V_go_2nd_sg_inf_fut_02.wav
ˈ iː 	301	269	--undefined--	--undefined--	906	1452	--undefined--	--undefined--	2505	2740	--undefined--	--undefined--	V_go_2nd_sg_inf_fut_02.wav
ũ	606	474	396	457	1846	1403	1324	796	2844	2947	2577	2543	V_go_3rd_pl_form_all_fut_02.wav
ũ	461	484	405	405	1423	1098	1534	804	3355	2899	3113	2390	V_go_3rd_pl_form_all_fut_02.wav
õ	435	443	336	819	1369	1487	1353	1447	2789	3124	2493	2735	V_go_3rd_pl_form_all_fut_02.wav
ɛ 	354	501	871	--undefined--	1299	1274	1489	--undefined--	2561	2446	2820	--undefined--	V_go_3rd_pl_form_all_fut_02.wav
a	621	890	--undefined--	--undefined--	825	1521	--undefined--	--undefined--	2671	2669	--undefined--	--undefined--	V_go_3rd_pl_form_all_fut_02.wav
i	267	362	297	294	1874	2272	1697	1661	2974	2835	2629	2829	V_go_3rd_pl_inf_01.wav
a	449	684	438	336	2224	1403	1338	1986	2542	2351	2273	2838	V_go_3rd_pl_inf_01.wav
e	299	437	354	--undefined--	2155	1498	2195	--undefined--	2324	2342	2894	--undefined--	V_go_3rd_pl_inf_01.wav
i	227	414	--undefined--	--undefined--	1770	2186	--undefined--	--undefined--	2742	2768	--undefined--	--undefined--	V_go_3rd_pl_inf_01.wav
ũ 	749	399	355	332	2131	1392	1448	551	2738	2918	2976	2406	V_go_3rd_sg_form_f_fut_01.wav
ũ 	383	474	329	268	1345	793	1495	1394	3011	2929	2656	2751	V_go_3rd_sg_form_f_fut_01.wav
ĩː	319	281	676	--undefined--	1768	1157	1879	--undefined--	2888	2574	2919	--undefined--	V_go_3rd_sg_form_f_fut_01.wav
ũ	754	314	397	392	2069	1403	1355	1490	2946	2871	2608	2624	V_go_3rd_sg_form_m_fut_02.wav
ũ	385	518	449	386	1496	976	1331	927	3045	2710	2885	2858	V_go_3rd_sg_form_m_fut_02.wav
ũ	425	339	1036	--undefined--	1329	756	1432	--undefined--	2745	2747	2782	--undefined--	V_go_3rd_sg_form_m_fut_02.wav
a	339	791	--undefined--	--undefined--	1904	1347	--undefined--	--undefined--	2839	2492	--undefined--	--undefined--	V_go_3rd_sg_form_m_fut_02.wav
a	581	717	279	264	1621	1406	1279	1452	2364	2005	2257	1736	V_jump_3rd_sg_inf_01.wav
ˈi 	677	305	--undefined--	--undefined--	1413	2102	--undefined--	--undefined--	2375	2802	--undefined--	--undefined--	V_jump_3rd_sg_inf_01.wav
ũ 	335	262	270	340	1789	545	536	742	2687	2512	2533	2478	V_jump_3rd_sg_inf_Fut_03.wav
a	272	541	353	290	557	1292	1819	1831	2515	2363	2526	2516	V_jump_3rd_sg_inf_Fut_03.wav
ˈi 	360	342	--undefined--	--undefined--	884	2256	--undefined--	--undefined--	2454	2971	--undefined--	--undefined--	V_jump_3rd_sg_inf_Fut_03.wav
a ᵃ^̰ 	678	645	480	423	1586	1418	1456	1398	2601	2371	2239	2497	V_kill_01.wav
i	725	307	--undefined--	--undefined--	1595	1216	--undefined--	--undefined--	2540	2733	--undefined--	--undefined--	V_kill_01.wav
aᵃ^̰ 	705	792	593	387	1579	1583	1422	1396	2513	2658	2598	2637	V_kill_02.wav
ˈi	731	259	--undefined--	--undefined--	1542	1455	--undefined--	--undefined--	2356	2680	--undefined--	--undefined--	V_kill_02.wav
a ᵃ^̰ 	645	650	540	525	1716	1205	1178	1251	2360	2032	2269	2285	V_read_01.wav
ˈi	658	311	--undefined--	--undefined--	1255	2324	--undefined--	--undefined--	2081	2949	--undefined--	--undefined--	V_read_01.wav
a ᵃ^̰	616	577	414	319	1720	1197	1249	1715	2315	2076	2325	2297	V_read_02.wav
i	596	288	--undefined--	--undefined--	1174	2183	--undefined--	--undefined--	2068	2907	--undefined--	--undefined--	V_read_02.wav
ɛ	784	457	585	434	1847	1878	1428	1309	2765	2483	2470	2180	V_run_01.wav
a	795	510	--undefined--	--undefined--	2174	1354	--undefined--	--undefined--	3050	2200	--undefined--	--undefined--	V_run_01.wav
ɛ	761	430	289	537	2015	1864	1656	1521	2983	2458	2593	2508	V_run_02.wav
a	580	472	--undefined--	--undefined--	1567	1219	--undefined--	--undefined--	2519	2160	--undefined--	--undefined--	V_run_02.wav
ɛ	666	437	595	475	1755	1928	1427	897	2760	2465	2369	2488	V_run_1st_pl_01.wav
a	927	658	741	--undefined--	2214	1538	1960	--undefined--	3081	2310	2808	--undefined--	V_run_1st_pl_01.wav
ɛ	631	290	--undefined--	--undefined--	1629	1880	--undefined--	--undefined--	2650	2491	--undefined--	--undefined--	V_run_1st_pl_01.wav
ɛ 	657	443	1021	688	1894	1769	2156	1442	2860	2561	3306	2265	V_run_1st_sg_01.wav
a	633	670	--undefined--	--undefined--	1767	1350	--undefined--	--undefined--	2461	2328	--undefined--	--undefined--	V_run_1st_sg_01.wav
ɛ 	817	395	765	607	2170	1713	1833	1398	3271	2448	2722	2345	V_run_1st_sg_02.wav
a	820	629	--undefined--	--undefined--	2154	1307	--undefined--	--undefined--	2649	2184	--undefined--	--undefined--	V_run_1st_sg_02.wav
ɛ	914	451	333	582	2152	1973	1632	1445	3326	2560	2676	2408	V_run_2nd_pl_form_01.wav
a	971	538	324	436	1977	1311	2123	1542	3634	2345	2573	2793	V_run_2nd_pl_form_01.wav
ɛ	466	367	--undefined--	--undefined--	1719	1164	--undefined--	--undefined--	2462	2388	--undefined--	--undefined--	V_run_2nd_pl_form_01.wav
i	452	341	--undefined--	--undefined--	1971	2471	--undefined--	--undefined--	2562	2831	--undefined--	--undefined--	V_run_2nd_pl_form_01.wav
ɛ	864	301	493	395	1913	1638	1197	1028	3107	2376	2147	2430	V_run_2nd_pl_inf_01.wav
a	836	493	242	--undefined--	2220	1197	1667	--undefined--	3229	2148	3015	--undefined--	V_run_2nd_pl_inf_01.wav
ɛ	829	252	--undefined--	--undefined--	2108	1684	--undefined--	--undefined--	2687	2366	--undefined--	--undefined--	V_run_2nd_pl_inf_01.wav
ɛ	1028	306	520	370	2194	1613	1262	1035	3420	2529	2249	2431	V_run_2nd_pl_inf_02.wav
a	952	520	358	--undefined--	2193	1262	2339	--undefined--	2943	2248	2915	--undefined--	V_run_2nd_pl_inf_02.wav
ɛ	853	317	--undefined--	--undefined--	1787	1149	--undefined--	--undefined--	2520	2463	--undefined--	--undefined--	V_run_2nd_pl_inf_02.wav
i	415	340	--undefined--	--undefined--	2143	2552	--undefined--	--undefined--	2291	2774	--undefined--	--undefined--	V_run_2nd_pl_inf_02.wav
ɛ	1174	423	400	573	2214	1858	1741	1526	3359	2625	2867	2454	V_run_2nd_sg_form_01.wav
a	467	566	350	752	1386	1570	1629	2027	2455	2491	2657	3033	V_run_2nd_sg_form_01.wav
i	433	360	--undefined--	--undefined--	1894	1720	--undefined--	--undefined--	2539	2720	--undefined--	--undefined--	V_run_2nd_sg_form_01.wav
ɛ 	754	335	595	554	2041	1868	1428	1372	3170	2506	2430	2062	V_run_2nd_sg_inf_01.wav
a	871	529	--undefined--	--undefined--	1761	1369	--undefined--	--undefined--	2944	2156	--undefined--	--undefined--	V_run_2nd_sg_inf_01.wav
ɛ	851	289	570	1345	2199	1695	1360	2253	2700	2454	2220	3270	V_run_2nd_sg_inf_02.wav
a	1046	434	--undefined--	--undefined--	1877	1362	--undefined--	--undefined--	3007	2243	--undefined--	--undefined--	V_run_2nd_sg_inf_02.wav
ɛ 	1331	438	514	548	2050	1804	1749	1436	3337	2379	2523	1970	V_run_3rd_pl_form_01.wav
a	749	536	460	661	1985	1414	1434	1440	2843	1899	2077	2465	V_run_3rd_pl_form_01.wav
ɛ	795	455	--undefined--	--undefined--	1969	1297	--undefined--	--undefined--	2524	2631	--undefined--	--undefined--	V_run_3rd_pl_form_01.wav
a	420	659	--undefined--	--undefined--	1726	1383	--undefined--	--undefined--	2345	2255	--undefined--	--undefined--	V_run_3rd_pl_form_01.wav
ɛ 	1231	389	571	565	2219	1678	1578	1369	3310	2490	2526	1929	V_run_3rd_pl_form_02.wav
a	816	565	344	618	1942	1371	1401	1445	2701	1924	1887	2513	V_run_3rd_pl_form_02.wav
ɛ	833	499	--undefined--	--undefined--	2304	1402	--undefined--	--undefined--	2951	2672	--undefined--	--undefined--	V_run_3rd_pl_form_02.wav
a	413	414	--undefined--	--undefined--	1780	1343	--undefined--	--undefined--	2447	2221	--undefined--	--undefined--	V_run_3rd_pl_form_02.wav
ɛ	679	448	633	377	1680	1757	1546	853	2731	2100	2443	2659	V_run_3rd_pl_inf_01.wav
a	628	646	305	678	1563	1466	2161	1794	2704	2865	2712	2770	V_run_3rd_pl_inf_01.wav
ei	621	243	--undefined--	--undefined--	1869	2308	--undefined--	--undefined--	2546	3073	--undefined--	--undefined--	V_run_3rd_pl_inf_01.wav
ɛ	721	347	325	351	1966	1513	2177	1935	3222	2273	2635	2643	V_run_3rd_sg_form_f_01.wav
i	692	354	--undefined--	--undefined--	1658	2085	--undefined--	--undefined--	2528	2793	--undefined--	--undefined--	V_run_3rd_sg_form_f_01.wav
ɛ	1129	471	554	594	2452	1742	1648	1449	3484	2243	2590	2472	V_run_3rd_sg_form_m_01.wav
a	580	629	723	--undefined--	1475	1444	1427	--undefined--	2475	1774	2468	--undefined--	V_run_3rd_sg_form_m_01.wav
a	592	852	--undefined--	--undefined--	1993	1375	--undefined--	--undefined--	2499	2192	--undefined--	--undefined--	V_run_3rd_sg_form_m_01.wav
ɛ	1082	361	511	604	2265	1634	1437	1386	3314	2162	2447	2483	V_run_3rd_sg_form_m_02.wav
a	613	583	--undefined--	--undefined--	1547	1500	--undefined--	--undefined--	2673	2655	--undefined--	--undefined--	V_run_3rd_sg_form_m_02.wav
a	706	773	--undefined--	--undefined--	1782	1423	--undefined--	--undefined--	2509	2224	--undefined--	--undefined--	V_run_3rd_sg_form_m_02.wav
ɛ	613	447	294	351	1685	1819	1910	1826	2509	2788	2424	2616	V_run_3rd_sg_inf_02.wav
i	1029	327	--undefined--	--undefined--	2078	2270	--undefined--	--undefined--	3173	2819	--undefined--	--undefined--	V_run_3rd_sg_inf_02.wav
i	1492	315	256	821	2708	2219	1705	1888	3627	2359	2741	2674	V_sing_3rd_pl_inf_01.wav
a	463	650	408	391	1603	1464	1196	1839	2238	2292	2204	2676	V_sing_3rd_pl_inf_01.wav
e	309	416	357	1002	1938	1266	2272	2989	2484	2184	2997	4936	V_sing_3rd_pl_inf_01.wav
i	275	369	--undefined--	--undefined--	1794	2275	--undefined--	--undefined--	2757	2847	--undefined--	--undefined--	V_sing_3rd_pl_inf_01.wav
i	652	345	357	1952	2274	2117	2051	2549	3039	2612	2654	3366	V_sleep_01.wav
i	329	435	--undefined--	--undefined--	2130	2133	--undefined--	--undefined--	2720	2892	--undefined--	--undefined--	V_sleep_01.wav
i	652	345	357	1952	2274	2117	2051	2549	3039	2612	2654	3366	V_sleep_02.wav
i	329	435	--undefined--	--undefined--	2130	2133	--undefined--	--undefined--	2720	2892	--undefined--	--undefined--	V_sleep_02.wav
i	772	315	983	1988	2387	2161	2351	2594	3020	2872	3134	3240	V_sleep_1st_sg_01.wav
i	354	246	340	508	2209	2540	1168	1419	2886	2945	2332	2447	V_sleep_1st_sg_01.wav
u	1958	256	--undefined--	--undefined--	2692	971	--undefined--	--undefined--	3163	2322	--undefined--	--undefined--	V_sleep_1st_sg_01.wav
i	1506	305	238	1996	2568	2165	2119	2454	3273	2687	2907	3269	V_sleep_1st_sg_02.wav
i	293	293	233	407	2193	2125	1210	1314	2733	2831	2323	2414	V_sleep_1st_sg_02.wav
u	1852	233	--undefined--	--undefined--	2525	1206	--undefined--	--undefined--	3536	2320	--undefined--	--undefined--	V_sleep_1st_sg_02.wav
