text	dur
__	488.303000
__	436.513000
__	495.701000
__	488.303000
__	415.468000
__	124.482000
__	200.102000
__	76.191000
_	190.253000
_	232.028000
_	79.738000
__	383.935000
__	356.945000
___	490.828000
___	452.258000
_	171.425000
_	95.423000
_	163.701000
_	65.730000
_	37.605000
_	194.968000
_	143.048000
_	162.538000
_	60.417000
_	204.449000
_	143.033000
_	134.092000
_	164.142000
_	179.826000
_	158.706000
_	56.856000
_	78.114000
_	156.489000
_	193.286000
__	308.607000
__	289.211000
__	279.376000
__	278.256000
__	281.576000
__	355.297000
__	278.720000
__	250.229000
__	352.400000
__	201.402000
__	303.168000
__	240.273000
__	140.451000
__	376.127000
__	217.910000
__	254.875000
__	226.612000
__	336.036000
__	78.114000
___	317.388000
___	271.862000
___	387.628000
ai_	141.355000
ia	368.002000
ia	129.663000
ia	148.652000
ia_	120.330000
