text	durMS
o_n_k	148.127000
o_n_k	76.305000
o_n_?^\	193.937000

o_k	133.772000
o_k	114.486000
o_k	144.641000
o:_k	338.403000

u	54.573000
u	121.545000
u	103.043000
u	88.444000
u	278.521000
u	64.498000
u	111.126000
u	124.514000
u	155.101000
u	62.958000
u	98.701000
u	328.331000
u	98.701000
u	153.583000
u	251.914000
u	181.644000
u	190.433000
u	199.542000
u	97.511000
u	104.047000
u	144.442000
u	188.579000
u	184.043000
u	91.311000
u	132.270000
u	107.245000
u	119.270000
u	198.293000
u	86.470000
u	98.933000
u	46.720000
u	117.195000
u	115.663000
u	98.982000
u	158.784000
u:	276.094000
u:	206.257000
u:	265.701000
u:	254.017000

u_n	171.425000
u_n	95.423000
u_n	163.701000
u_n	65.730000
u_n	37.605000
u_n	194.968000
u_n	143.048000
u_n	162.538000
u_n	60.417000
u_n	204.449000
u_n	143.033000
u_n	134.092000
u_n	164.142000
u_n	179.826000
u_n	158.706000
u_n	56.856000
u_n	78.114000
u_n	156.489000
u_n	193.286000
u:_n	308.607000
u:_n	289.211000
u:_n	279.376000
u:_n	278.256000
u:_n	281.576000
u:_n	355.297000
u:_n	278.720000
u:_n	250.229000
u:_n	352.400000
u:_n	201.402000
u:_n	303.168000
u:_n	240.273000
u:_n	140.451000
u:_n	376.127000
u:_n	217.910000
u:_n	254.875000
u:_n	226.612000
u:_n	336.036000

u_n_k	104.554000
u_n_k	78.114000
u:_n_k	317.388000
u:_n_k	271.862000
u:_n_k	387.628000

E	190.253000
E	232.028000
E	79.738000
E:	383.935000
E:	356.945000

E:_k	490.828000
E:_k	452.258000

(ia)	368.002000
(ia)	129.663000
(ia)	148.652000
(ia)_k	120.330000

(ai)_k	141.355000
