file,channels,samplerate,duration_sec,format
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/P_thin_green_fruit_POSS_1st_sg_02_spkrJS.wav,1,96000,3.59,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/P_this_woman_01_02_03_spkrJS.wav,1,44100,5.39,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/SOC_thank_you_inf_03_04_spkrTS.wav,1,96000,2.31,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_ATRB_be_siblings_Pablo_Maria_1st_sg_01_spkrTS.wav,1,96000,3.62,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_ATRB_both_brother_Pablo_1st_sg_and_sister_Maria_1st_sg_be_1st_pl_exc_PRS_teachers_01_spkrTS.wav,1,96000,5.47,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_ATRB_both_brother_Pablo_1st_sg_and_sister_Maria_1st_sg_be_1st_pl_exc_PRS_teachers_02_spkrTS.wav,1,96000,4.9,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_ATRB_mother_1st_pl_excl_name_Herminia_02_spkrTS.wav,1,96000,3.0,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_ATRB_shirt_2nd_sg_inf_be_PRS_black_02_spkrTS.wav,1,96000,1.74,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_ATRB_sibling_pl_1st_sg_be_PRS_older_than_1st_sg_01_spkrTS.wav,1,96000,3.45,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_ATTRB_Pablo_and_Maria_are_teachers_02_TS.wav,1,96000,2.84,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_CLS1_he_used_to_throw_a_ball_to_me_CLS2_and_I_used_to_throw_it_back_to_him_02_spkrTS.wav,1,96000,4.29,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_CMND_take_2nd_sg_inf_DET_PROX_moon_02_spkrJS.wav,1,96000,1.81,WAV
